Heat_of_Formation_kJperMolH2,Entropy_of_Formation_JperMolH2perK,Material_Class_A2B,Material_Class_AB,Material_Class_AB2,Material_Class_AB2(C14),Material_Class_AB2(C15),Material_Class_AB5,Material_Class_MIC,Material_Class_Mg,Material_Class_SS
-0.6621271076523993,-0.06279688392337203,False,False,False,True,False,False,False,False,False
-0.8651102464332036,-0.1957417547787953,False,False,False,True,False,False,False,False,False
0.18741893644617377,0.9633246126911117,False,False,False,False,False,True,False,False,False
0.24837872892347582,-0.6840120077387133,False,False,False,True,False,False,False,False,False
0.8878080415045391,1.7569095652872975,False,False,False,False,False,False,True,False,False
-0.5389105058365758,0.5753384961826599,False,False,False,False,True,False,False,False,False
-0.5466926070038911,-0.21217857517546598,False,False,False,True,False,False,False,False,False
2.1588845654993505,0.5691608832434545,False,False,False,False,False,False,False,True,False
-0.506485084306096,-0.8379725414309008,False,False,True,False,False,False,False,False,False
0.018806744487678276,0.10434519152296517,False,False,False,False,False,True,False,False,False
-0.8631647211413747,0.7832159306111397,False,False,False,False,True,False,False,False,False
-0.7334630350194552,-2.794209685134796,False,False,False,True,False,False,False,False,False
0.4662775616083006,1.0312507000543663,False,False,False,False,False,True,False,False,False
-0.13035019455252925,0.03389029488057218,False,False,False,True,False,False,False,False,False
0.4597924773022045,0.07256516640214972,False,False,False,True,False,False,False,False,False
-0.09792477302204936,0.00488414123938919,False,False,False,True,False,False,False,False,False
-0.2730220492866407,-1.5856199500854933,False,False,False,True,False,False,False,False,False
1.5129701686121912,0.6546219828018941,False,False,False,True,False,False,False,False,False
1.6011673151750965,3.278700660040942,False,False,False,False,False,False,True,False,False
0.20687418936446153,-0.6610647291112551,False,False,False,False,False,False,False,False,True
0.11024643320363156,-0.4780683168863125,False,False,False,True,False,False,False,False,False
-0.03955901426718565,-1.0483569385928044,False,False,True,False,False,False,False,False,False
1.3741893644617373,-1.6462636845086132,False,False,True,False,False,False,False,False,False
-0.9027237354085601,-2.060353998012859,False,False,False,True,False,False,False,False,False
-0.8437094682230867,0.01455285911978306,False,False,False,False,True,False,False,False,False
-0.5259403372243839,-1.3293989262550412,False,False,False,True,False,False,False,False,False
-0.7010376134889753,0.4883200352591102,False,False,False,True,False,False,False,False,False
-0.026588845654993747,-0.24434504105329238,False,False,True,False,False,False,False,False,False
2.022697795071335,0.38319076452161605,True,False,False,False,False,False,False,False,False
0.07717250324254198,-0.7442417467924506,False,False,True,False,False,False,False,False,False
-0.6835278858625161,-0.963921390376132,False,False,False,False,True,False,False,False,False
-0.8307392996108948,-2.660240223518236,False,False,False,False,False,False,False,False,True
-0.11738002594033733,1.0249338776210002,False,False,False,True,False,False,False,False,False
-1.1134889753566795,-1.1925865682474603,False,False,False,False,True,False,False,False,False
-0.7204928664072633,0.41580465115615206,False,False,False,True,False,False,False,False,False
-0.2405966277561608,-0.24166816471066893,False,False,False,True,False,False,False,False,False
1.0045395590142665,-0.06903359830701536,False,True,False,False,False,False,False,False,False
3.5791180285343698,7.366858768221561,False,False,True,False,False,False,False,False,False
2.2172503242542145,0.18683072041209306,False,True,False,False,False,False,False,False,False
-0.28599221789883283,-0.2829558135338713,False,False,False,False,False,True,False,False,False
-0.3942931258106355,-0.9948612875933942,False,False,False,True,False,False,False,False,False
0.40142671854734086,-0.6289810112495223,False,False,False,False,False,False,False,False,True
-0.3702983138780803,0.2963635341508695,False,False,False,False,False,True,False,False,False
3.125162127107651,-0.9378158520990668,False,False,False,False,True,False,False,False,False
-0.11738002594033733,-1.005496877261828,False,False,False,True,False,False,False,False,False
0.7581063553826196,0.985515898282913,False,False,False,False,False,True,False,False,False
-0.9020752269779505,-0.9329814931588698,False,False,False,False,True,False,False,False,False
0.3975356679636831,-0.2556878056372405,False,False,False,True,False,False,False,False,False
4.616731517509726,3.845133117491715,False,False,False,False,False,False,False,True,False
-0.37749675745784694,0.05516147421743979,False,False,False,True,False,False,False,False,False
1.9578469520103754,2.1109393026030956,False,True,False,False,False,False,False,False,False
-0.6309987029831389,-0.3567259074873623,False,False,False,True,False,False,False,False,False
0.6608300907911799,-0.944856931342174,False,False,False,False,False,False,False,True,False
0.6413748378728922,2.093536211382565,False,False,False,False,False,False,True,False,False
0.33657587548638107,-0.2222083802914856,False,False,False,False,False,False,True,False,False
-0.3035019455252919,-0.20057611371899223,False,False,False,True,False,False,False,False,False
-0.785343709468223,-0.19332457530869684,False,False,False,True,False,False,False,False,False
-0.2276264591439689,0.2901113187110242,False,False,False,True,False,False,False,False,False
0.07717250324254198,-0.7009322640294039,False,False,False,True,False,False,False,False,False
-0.5389105058365758,0.5753384961826599,False,False,False,False,True,False,False,False,False
1.8929961089494156,0.3461753821061079,True,False,False,False,False,False,False,False,False
0.330090791180285,1.0115089015669478,False,False,False,False,False,True,False,False,False
1.218547341115434,0.7117692769768977,False,True,False,False,False,False,False,False,False
